Ref,Val,Package,PosX,PosY,Rot,Side
"R25","10K 0402","R_0402_1005Metric",216.300000,-112.690000,90.000000,top
"R26","100R 0402","R_0402_1005Metric",215.775000,-114.395000,0.000000,top
"R27","4.7K 0402","R_0402_1005Metric",228.400000,12.200000,90.000000,top
"R28","220R 0402","R_0402_1005Metric",215.800000,36.200000,90.000000,top
"R29","10K 0402","R_0402_1005Metric",227.800000,-108.600000,-90.000000,top
"R30","47K 0402","R_0402_1005Metric",254.200000,-134.510000,-90.000000,top
"R31","47K 0402","R_0402_1005Metric",254.450000,-95.565000,90.000000,top
"R32","47K 0402","R_0402_1005Metric",253.010000,-134.520000,-90.000000,top
"R33","47K 0402","R_0402_1005Metric",245.420000,-134.510000,-90.000000,top
"R34","1.5K 0402","R_0402_1005Metric",254.600000,-98.410000,-90.000000,top
"R35","100R 0402","R_0402_1005Metric",236.724150,-111.040000,-90.000000,top
"R36","10K 0402","R_0402_1005Metric",225.500000,-112.410000,90.000000,top
"R37","10R 0402","R_0402_1005Metric",257.105000,-90.720000,180.000000,top
"R38","10R 0402","R_0402_1005Metric",257.085000,-91.810000,180.000000,top
"R39","10K 0402","R_0402_1005Metric",223.300000,-118.120000,-90.000000,top
"R40","10R 0402","R_0402_1005Metric",257.065000,-92.920000,180.000000,top
"R41","10K 0402","R_0402_1005Metric",235.510000,-126.600000,180.000000,top
"R42","10K 0402","R_0402_1005Metric",241.450000,-61.015000,-90.000000,top
"R43","4.7K 0402","R_0402_1005Metric",221.300000,-119.320000,180.000000,top
"R44","10K 0402","R_0402_1005Metric",221.300000,-120.320000,0.000000,top
"R45","100R 0402","R_0402_1005Metric",220.600000,-128.100000,0.000000,top
"R46","100R 0402","R_0402_1005Metric",225.677050,-130.062250,90.000000,top
"R47","100R 0402","R_0402_1005Metric",227.647050,-130.062250,-90.000000,top
"R48","100R 0402","R_0402_1005Metric",228.777050,-120.492250,180.000000,top
"R49","10R 0402","R_0402_1005Metric",237.800000,-155.800000,0.000000,top
"R50","47K 0402","R_0402_1005Metric",246.600000,-136.600000,180.000000,top
"R51","10R 0402","R_0402_1005Metric",241.500000,-154.890000,90.000000,top
"R52","10K 0402","R_0402_1005Metric",238.560000,-150.312000,0.000000,top
"R53","1.5K 0402","R_0402_1005Metric",243.400000,-134.510000,90.000000,top
"R54","1.5K 0402","R_0402_1005Metric",246.600000,-137.600000,0.000000,top
"R55","10R 0402","R_0402_1005Metric",226.400000,-120.000000,-90.000000,top
"R56","100R 0402","R_0402_1005Metric",240.000000,-134.200000,90.000000,top
"R57","7.5K 0402","R_0402_1005Metric",238.560000,-151.312000,0.000000,top
"R58","47K 0402","R_0402_1005Metric",240.800000,-159.400000,-90.000000,top
"R59","100R 0402","R_0402_1005Metric",241.400000,-134.090000,90.000000,top
"R60","47K 0402","R_0402_1005Metric",244.310000,-108.100000,180.000000,top
