Designator,Mid X,Mid Y,Layer,Rotation
S3,240.8000mm,34.3000mm,Top,0
SW1,224.5000mm,-145.3000mm,Top,90
SW2,233.5000mm,-135.5000mm,Top,90
TP1,238.0000mm,-167.3000mm,Top,0
TP2,254.7000mm,-144.3000mm,Top,90
TP3,255.5000mm,-138.0000mm,Top,90
TP4,214.5000mm,-137.0000mm,Top,0
TP5,219.5000mm,-137.0000mm,Top,0
TP6,224.5000mm,-137.0000mm,Top,0
TP7,228.6000mm,-102.0000mm,Top,180
TP8,223.4000mm,-102.5250mm,Top,180
TP9,260.6000mm,-102.0000mm,Top,180
TP10,232.6000mm,-98.0000mm,Top,0
TP13,228.0000mm,-167.4000mm,Top,0
U1,249.0400mm,-151.8120mm,Top,0
U2,242.3400mm,-149.9670mm,Top,180
U3,250.0600mm,-123.1000mm,Top,270
U4,232.2241mm,-110.5000mm,Top,0
U5,257.0000mm,-96.8000mm,Top,0
U6,254.4500mm,-104.0300mm,Top,180
U7,221.6670mm,-124.7750mm,Top,270
U8,226.3170mm,-125.0250mm,Top,90
VR1,238.3000mm,-20.6667mm,Top,90
VR2,238.7000mm,-47.0000mm,Top,0
VR3,238.8000mm,6.3333mm,Top,0
